"id","id2","state","g_id","g_id2","countyName","density"
"0400000US50",50,"Vermont","0500000US50001",50001,"Addison County",48
"0400000US50",50,"Vermont","0500000US50003",50003,"Bennington County",55
"0400000US50",50,"Vermont","0500000US50005",50005,"Caledonia County",48.1
"0400000US50",50,"Vermont","0500000US50007",50007,"Chittenden County",291.7
"0400000US50",50,"Vermont","0500000US50009",50009,"Essex County",9.5
"0400000US50",50,"Vermont","0500000US50011",50011,"Franklin County",75.3
"0400000US50",50,"Vermont","0500000US50013",50013,"Grand Isle County",85.2
"0400000US50",50,"Vermont","0500000US50015",50015,"Lamoille County",53.3
"0400000US50",50,"Vermont","0500000US50017",50017,"Orange County",42.1
"0400000US50",50,"Vermont","0500000US50019",50019,"Orleans County",39.3
"0400000US50",50,"Vermont","0500000US50021",50021,"Rutland County",66.3
"0400000US50",50,"Vermont","0500000US50023",50023,"Washington County",86.6
"0400000US50",50,"Vermont","0500000US50025",50025,"Windham County",56.7
"0400000US50",50,"Vermont","0500000US50027",50027,"Windsor County",58.5
